
slabel,plabel,v
澳门,地理位置,珠江口西岸，与广东省珠海市相邻
阿尔卑斯山脉,地理位置,欧洲西部南部横贯东西
阿尔卑斯山脉,地理位置,亚欧板块与非洲板块的交界处
落基山脉,地理位置,美洲板块与太平洋板块的交界处
安第斯山脉,地理位置,南极洲板块与美洲板块的交界处
环太平洋地带,地理位置,太平洋板块与亚欧板块、美洲板块、印度洋板块、南极洲板块交界处
环太平洋地带,地理位置,亚欧板块与非洲板块、印度洋板块交界处
日本,地理位置,亚洲东部、太平洋西北部的岛国，大部分位于北温带
日本,地理位置,环太平洋火山、地震带上，多火山、地震
日本,地理位置,从板块构造上来说，日本位于亚欧板块与太平洋板块的交界处，地壳比较活跃
亚太经济合作组织,地理位置,秘书处设在新加坡
西北地区,地理位置,主要位于我国地势的第二级阶梯，大体位于大兴安岭以西、长城和昆仑山一阿尔金山以北
塔里木盆地,地理位置,新疆境内天山以南
三江源地区,地理位置,三江源地区位于青藏高原腹地，青海省南部，是长江源区、黄河源区、澜沧江源区的总称。
中国,地理位置,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-360
我国,地理位置,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-360
中国,地理位置,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-360
青藏高原,地理位置,亚洲的中部
喜马拉雅山脉,地理位置,亚欧板块和印度洋板块的交界处
喜马拉雅山,地理位置,亚欧板块和印度洋板块的交界处
死海,地理位置,巴勒斯坦地区和约旦交界处
珠江,地理位置,秦岭一淮河以南
长江,地理位置,秦岭一淮河以南
摩尔曼斯克,地理位置,北冰洋沿岸
欧洲西部,地理位置,东半球西北部，亚欧大陆西部，包括欧洲的西半部，面积约占欧洲的一半
日本,地理位置,隔日本海和朝鲜海峡与俄罗斯、中国、朝鲜、韩国相望
富士山,地理位置,首都东京的近郊
南方地区,地理位置,秦岭－淮河以南，青藏高原以东，东面和南面分别濒临黄海、东海和南海。
三江平原,地理位置,位于黑龙江省东部
松嫩平原,地理位置,位于黑龙江省西南部
北方地区,地理位置,我国北方地区大体位于大兴安岭、青藏高原以东，内蒙古高原以南，秦岭一淮河以北，东临渤海和黄海
北方地区,地理位置,地跨我国的中温带和暖温带
青藏高原,地理位置,位于我国西南部，横断山脉以西，昆仑山脉一祁连山脉以南，南至国界
青藏高原,地理位置,昆仑山、祁连山、横断山、喜马拉雅山之间
内蒙古高原,地理位置,大兴安岭以西、祁连山以东，北至国界，南至长城
云贵高原,地理位置,云南省东部和贵州省大部分
北极地区,地理位置,地球的最北端，指北纬66.5°（北极圈）以北的广大区域
北极地区,地理位置,主要位于北极圈（66.5°N）以北
波德平原,地理位置,莱茵河以东
伏尔加格勒,地理位置,伏尔加河下游
符拉迪沃斯托克,地理位置,太平洋沿岸
准噶尔盆地,地理位置,新疆境内天山以北
柴达木盆地,地理位置,青藏高原东北部青海省境内
长江中下游平原,地理位置,西起巫山，东抵海滨，东西狭长
红海,地理位置,"非洲和阿拉伯半岛之间,非洲板块与印度洋板块分离处，是一个板块分离形成的海洋。"
极光,地理位置,加拿大、瑞典是易见到极光的地点。
商业街,地理位置,"一些商业街以市场最优为原则,建立在城市的几何中心处。"
商业街,地理位置,以交通最优为原则的商业街应建在市区环路边缘或市区边缘的高速公路沿线。
商业区,地理位置,主要呈点状或条状分布于城市街道两侧的城市功能区。
西风漂流,地理位置,南纬40度附近。
塔里木盆地,地理位置,我国新疆南部，天山山脉和昆仑山脉之间，是我国面积最大的盆地。
里海,地理位置,中亚西部
巴尔喀什湖,地理位置,中亚东部
清洁生产,结论,推行清洁生产符合可持续发展的要求
城市化,标志,一是城市人口增加；二是城市人口在总人口中的比重上升；三是城市用地规模扩大。衡量城市化水平的最重要指标是城市人口占总人口的百分比。
世界贸易组织,标志,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-216
联合国,标志,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-215
国际货币基金组织,标志,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-219
亚太经济合作组织,标志,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-217
东南亚国家联盟,标志,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-220
欧洲联盟,标志,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-218
欧盟,标志,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-218
城市化,标志,城市人口在总人口中的比重上升
环境质量,标志,衡量现代城市环境质量高低的重要标志是城市绿地面积的多少
城市环境质量,标志,衡量现代城市环境质量高低的重要标志是城市绿地面积的多少。
土壤肥力,标志,土壤肥力高低的重要标志是土壤中有机质的含量。
内蒙古牧区,养殖物种,三河马、三河牛
新疆牧区,养殖物种,新疆细毛羊
青海牧区,养殖物种,牦牛
西藏牧区,养殖物种,牦牛
农耕区畜牧业,养殖物种,牲畜（猪、牛、羊）、家禽（鸡、鸭、鹅）
乳畜业,养殖物种,奶牛
牧区畜牧业,生产方式,放牧
农耕区畜牧业,生产方式,饲养
生产工序上的工业联系,表现形式,工厂之间存在着产品与原料的联系，一家工厂生产的产品是另一家工厂的原料，这两家工厂之间就形成了生产工序上的工业联系
空间利用上的工业联系,表现形式,工厂之间虽然没有生产工序上的联系，但布局在同一个工业区内，共同利用工业区的道路、供水、供电、通信等基础设施以及生产、生活服务设施，或者共同利用当地廉价的劳动力，形成空间利用上的工业联系
垂直地域分异规律规律,表现形式,自然带大体沿等高线方向延伸，从山麓向山顶更替
由赤道到两极的地域分异规律,表现形式,自然带沿着纬度变化的方向作有规律的更替
从沿海向内陆的地域分异规律,表现形式,自然带沿着经度变化的方向作有规律的更替
内力作用,表现形式,主要有地壳运动、岩浆活动和变质作用等
新工业区,表现形式,新发展起来的以传统工业为主的工业地域，例如意大利东北部和中部地区，该区的主要特点是通过专业分工和团结协作将众多中小型企业紧密联系在一起
新工业区,表现形式,以高新技术产业为龙头发展起来的新工业区，如德国南部地区、美国“硅谷”、日本“硅岛”等，这些地区基本上没有传统工业，逐步发展成为以电子、宇航等高新技术产业为主的工业地域
酸雨,表现形式,硫酸型酸雨和硝酸型酸雨
断块山,表现形式,断块山的规模大小不等，大的断块山可以延伸数千米，如我国的华山等，小的只有几十米
褶皱,表现形式,褶皱的基本单位是褶曲，即褶皱的一个弯曲；褶曲的基本形态是背斜和向斜
外力作用,表现形式,主要有风化、侵蚀、搬运、堆积四种形式
土地退化,表现形式,土壤侵蚀、过度放牧导致草场退化、土地荒漠化，不合理灌溉引起土壤盐渍化和涝渍、污染造成土地质量下降等。
草地退化,表现形式,牧场退化   牧草变得稀疏低矮，牧场产草量减少，草质变劣（优良适口牧草减少，杂草、毒草增多）
草地退化,表现形式,生态退化  土地沙化和盐渍化   动植物资源遭到破坏，适应草原和荒漠环境的物种濒临灭绝
高技术工业,表现形式,技术导向型——接近高等教育和科技发达地区
高技术工业,表现形式,临空型——以飞机场和四通八达的高速公路为中心
高技术工业,表现形式,优美的环境
荒漠化,表现形式,耕地退化、草地退化、林地退化而引起的土地沙漠化（我国西北地区）、石质荒漠化（我国云贵地区）和次生盐渍化（灌溉农业区和黄淮海平原）
聚落,表现形式,乡村聚落：乡村一般规模较小，居民主要从事耕作、放牧、捕鱼等生产活动，进而把乡村聚落分为农村、牧村、渔村等不同类型
聚落,表现形式,城市聚落：人口达到一定规模，主要从事非农业生产活动的居民居住地。规模一般大于乡村和集镇，居民主要从事工业、服务业等工作。城市聚落是一定区域内的政治、经济、文化中心，是整个社会创造物质财富和精神财富的重要基地
城市化,表现形式,（1）城市化是城市人口比重不断提高的过程。城市化能够创造出许多就业机会，主要表现为大批乡村人口进入城市，城市人口在总人口中的比重逐步提高。
城市化,表现形式,（2）城市化是产业结构转变的过程。随着城市化的推进，原来从事传统低效的第一产业的劳动力转向从事现代高效的第二、第三产业，产业结构逐步升级，国家创造财富的能力不断提高。
城市化,表现形式,（3）城市化是居民收入水平不断提高的过程。城市是高消费群体聚集地，城市化使大批低收入群体转变为高收入群体。城市化过程中城市市场不断扩张，对投资者吸引力不断增强。
城市化,表现形式,（4）城市化是一个城市文明不断发展并向农村渗透和传播的过程。
城市化,表现形式,（5）城市化过程是人的整体素质不断提高的过程。
分异规律,表现形式,以水分为基础，比如坐火车从乌鲁木齐到连云港看见植被景观的变化
大气运动,表现形式,大气运动最简单的形式叫热力环流
城市化,表现形式,"一个地区的城市化发展到高级阶段后,城乡差别将逐渐缩小"
工业的专业化产业区,表现形式,我国各地的“一县一品”、“一镇一品”反映的是工业的专业化产业区
传统工业区,表现形式,德国鲁尔区；英国中部工业区；美国东北部工业区
太阳辐射,表现形式,太阳辐射太阳以电磁波的形式向宇宙空间放射能量。
城市化,表现形式,城市人口增加；城市人口在总人口中的比重上升；城市数量增加及城市用地规模扩大。
美国,国土组成,本土48个州，1个首都所在特区，2个海外州（阿拉斯加州和夏威夷州）
东北部工业区,主要工业城市,纽约、芝加哥、底特律、匹兹堡
南部工业区,主要工业城市,休斯敦、亚特兰大、达拉斯
西部工业区,主要工业城市,旧金山、洛杉矶、西雅图
日本,主要工业城市,主要分布在太平洋沿岸及濑户内海沿岸的狭长地带，东京、大坂、名古屋、北九州等大城市周围的地区是日本的主要工业区
西北地区,主要工业城市,包头、金昌、呼和浩特、乌鲁木齐、酒泉
青藏地区,主要工业城市,西宁、拉萨、林芝
印度,主要工业城市,有以东北部的加尔各答和西部的孟买为中心的传统工业区，和南部以班加罗尔为中心的新兴工业区
大洋洲,五带位置,跨热带和温带，大部分位于热带
大洋洲,海陆位置,介于亚洲和南极洲之间，西临印度洋，东临太平洋，与南北美洲隔海相望
地中海气候,海陆位置,大陆西岸
温带海洋性气候,海陆位置,西临大西洋，大陆轮廓破碎，海洋气流能够伸入内陆
温带大陆性气候,海陆位置,深居内陆，远离海洋，海洋水汽到达少
俄罗斯,海陆位置,位于亚欧大陆的北部，东临太平洋，北靠北冰洋，西濒波罗的海，西南临黑海和里海，东北隔白令海峡与美国相望，陆上与芬兰、白俄罗斯、乌克兰、哈萨克斯坦、中国、蒙古、朝鲜等国为邻
俄罗斯,海陆位置,海陆兼备
巴西,海陆位置,海陆兼备
中国,海陆位置,海陆兼备
我国,海陆位置,海陆兼备
中国,海陆位置,海陆兼备
加拿大,海陆位置,海陆兼备
俄罗斯,海陆位置,北临北冰洋、东临太平洋、距大西洋比较近→西风从大西洋带来了暖湿空气→降水大致由西向东逐渐减少。
蒙古,海陆位置,内陆国
亚洲,海陆位置,北临北冰洋，东临太平洋，南临印度洋，西接欧洲，西南邻非洲，东北隔海峡与北美洲相望，东南隔海与大洋洲相望
印度洋,海陆位置,位于亚洲、大洋洲、南极洲和非洲四大洲之间
巴西,海陆位置,巴西位于南美洲东部，东临大西洋，陆上邻国有法属圭亚那、苏里南、圭亚那、委内瑞拉、哥伦比亚、秘鲁、玻利维亚、巴拉圭、阿根廷和乌拉圭
南亚,海陆位置,位于南亚次大陆——喜马拉雅山脉和印度洋之间。纬度位置：大部分在10°N－30°N之间，多属热带。北回归线从南亚中部穿过
中亚,海陆位置,地处亚欧大陆中部——古今交通要道、古丝绸之路和第二亚欧大陆桥都经过这里。纬度位置：属于温带
北冰洋,海陆位置,被亚洲、欧洲和北美洲三大洲环绕
澳大利亚,海陆位置,西临印度洋，东临太平洋，西北面隔海与亚洲相望，南面隔海与南极洲相望
北京,海陆位置,位于华北平原的西北角，西面和北面背靠群山，东南是延伸向渤海的平原
大西洋,海陆位置,位于欧洲、非洲、南极洲和南北美洲五大洲之间
美国,海陆位置,本土东临大西洋，西临太平洋，南邻墨西哥和墨西哥湾，北邻加拿大
美国,海陆位置,本土三面临海，东临大西洋，西临太平洋，南临墨西哥湾，受海洋影响大，气候温和湿润
东南亚,海陆位置,"中南半岛东临南海,西临孟加拉湾
马来群岛东临太平洋，西临印度洋"
撒哈拉以南非洲,海陆位置,大部分地区位于南、北回归线之间，东临印度洋，西临大西洋，面积约占非洲的4/5
日本,海陆位置,岛国
日本,海陆位置,亚洲东部，太平洋西北部
中国,海陆位置,"我国陆地位于世界最大的大陆一亚欧大陆的东部，西部深人亚欧大陆的腹地；东部濒临世界最大的大洋一太平洋，有众多的岛屿与港湾。我国是一个海陆兼备的国家。
海陆位置的优越性：
①我国东部濒临太平洋,使得我国广大的东部地区在夏季湿润气流的影响下，雨量充沛，有利于发展农业生产 
②沿海地区便于发展海洋事业和与海外各国进行交往 
③西部内陆地区可以通过陆上交通与中亚、西亚和欧洲各国交往，便于对外交往与合作"
我国,海陆位置,"我国陆地位于世界最大的大陆一亚欧大陆的东部，西部深人亚欧大陆的腹地；东部濒临世界最大的大洋一太平洋，有众多的岛屿与港湾。我国是一个海陆兼备的国家。
海陆位置的优越性：
①我国东部濒临太平洋,使得我国广大的东部地区在夏季湿润气流的影响下，雨量充沛，有利于发展农业生产 
②沿海地区便于发展海洋事业和与海外各国进行交往 
③西部内陆地区可以通过陆上交通与中亚、西亚和欧洲各国交往，便于对外交往与合作"
中国,海陆位置,"我国陆地位于世界最大的大陆一亚欧大陆的东部，西部深人亚欧大陆的腹地；东部濒临世界最大的大洋一太平洋，有众多的岛屿与港湾。我国是一个海陆兼备的国家。
海陆位置的优越性：
①我国东部濒临太平洋,使得我国广大的东部地区在夏季湿润气流的影响下，雨量充沛，有利于发展农业生产 
②沿海地区便于发展海洋事业和与海外各国进行交往 
③西部内陆地区可以通过陆上交通与中亚、西亚和欧洲各国交往，便于对外交往与合作"
中东,海陆位置,"两洋三洲五海之地	
沟通大西洋和印度洋
联系亚、欧、非三大洲
连接黑海、地中海、里海、红海、阿拉伯海"
太平洋,海陆位置,位于亚洲、大洋洲、南极洲、南北美洲五大洲之间
欧洲西部,海陆位置,欧洲的西半部，北临北冰洋，西临大西洋，南隔直布罗陀海峡和地中海与非洲相望
印度,海陆位置,亚洲的南部；东临孟加拉湾，西临阿拉伯海，南临印度洋
非洲,海陆位置,撒哈拉沙漠以南，东临印度洋，西濒大西洋
非洲,海陆位置,http://kb.cs.tsinghua.edu.cn/apihtml/getpng/495/CS090002T00960010201
台湾,海陆位置,北临东海，东临太平洋，南临南海，西隔台湾海峡与福建相望
热带雨林气候,自然区域,热带雨林
热带季风气候,自然区域,热带季雨林
热带草原气候,自然区域,热带草原
热带沙漠气候,自然区域,热带荒漠
地中海气候,自然区域,亚热带常绿硬叶林
亚热带季风和湿润气候,自然区域,亚热带常绿阔叶林
温带季风气候,自然区域,温带落叶阔叶林
温带海洋性气候,自然区域,温带落叶阔叶林
大洋洲,自然区域,澳大利亚、塔斯马尼亚岛、新西兰南北二岛、新几内亚岛、太平洋三大群岛等1万多个岛屿
温带大陆性气候,自然区域,温带草原、温带荒漠
高原山地气候,自然区域,高寒荒漠、冰川
寒带气候,自然区域,苔原、冰原景观
大洋洲,政区范围,包括澳大利亚、新西兰等多个闰家，此外还有美国的海外州夏威夷州和印度尼西亚位于新几内亚岛上的部分领土
俄罗斯,政区范围,跨亚、欧两洲
希腊,政区范围,跨亚、欧两洲
哈萨克斯坦,政区范围,跨亚、欧两洲
格鲁吉亚,政区范围,跨亚、欧两洲
阿塞拜疆,政区范围,跨亚、欧两洲
土耳其,政区范围,跨亚、欧两洲
埃及,政区范围,跨亚、非两洲
印度尼西亚,政区范围,跨亚洲、大洋洲
东北地区,政区范围,包括黑龙江省（简称:黑行政中心:哈尔滨）、吉林省（简称:吉行政中心:长春）和辽宁省（简称:辽行政中心:沈阳）
澳大利亚,政区范围,包括澳大利亚大陆、塔斯马尼亚岛及附近的一些岛屿
美国,政区范围,跨北美洲、大洋洲
巴拿马,政区范围,跨南、北美洲
西北地区,政区范围,"包括内蒙古自治区、新疆维吾尔自治区、宁夏回族自治区和甘肃省西北部，面积约占全国的30%,是我国四大地理区域中面积最大的区域"
青藏高原,政区范围,主要包括西藏自治区、青海省和四川省西部
台湾,政区范围,台湾省包括台湾岛，以及附近的澎湖列岛、钓鱼岛等许多小岛
垂直地域分异规律规律,延伸方向,大致沿等高线方向
由赤道到两极的地域分异规律,延伸方向,纬线方向（东西方向）
从沿海向内陆的地域分异规律,延伸方向,经线方向（南北方向）
垂直地域分异规律规律,更替方向,从山麓到山顶
由赤道到两极的地域分异规律,更替方向,纬度变化方向（南北方向）
从沿海向内陆的地域分异规律,更替方向,经度变化方向（东西方向）
中山站,建立时间,1989年
中国南极中山站,建立时间,1989年
昆仑站,建立时间,2009年
中国南极昆仑站,建立时间,2009年
黄河站,建立时间,2004年
中国北极黄河站,建立时间,2004年
泰山站,建立时间,2014年
中国南极泰山站,建立时间,2014年
长城站,建立时间,1985年
中国南极长城站,建立时间,1985年
基督教,建立时间,公元1世纪
伊斯兰教,建立时间,公元7世纪
鲁尔工业区,建立时间,19世纪中叶
中山站,建立时间,1989年2月
中国南极中山站,建立时间,1989年2月
昆仑站,建立时间,2009年1月
中国南极昆仑站,建立时间,2009年1月
泰山站,建立时间,2014年2月
中国南极泰山站,建立时间,2014年2月
黄河站,建立时间,2004年7月
中国北极黄河站,建立时间,2004年7月
长城站,建立时间,1985年2月
中国南极长城站,建立时间,1985年2月
佛教,建立时间,公元前6世纪
联合国,建立时间,成立于1945年10月24日，51个国家承诺通过国际合作和集体安全维护和平
两极地区,淡水资源,地球上大部分的淡水以冰雪形式储存在两极地区
俄罗斯,淡水资源,俄罗斯的河川径流量仅次于巴西，居世界第二位；贝加尔湖是世界上最深、淡水储量最多的湖泊
华北平原,淡水资源,"解决华北平原缺水问题的措施：
①国家为缓解华北平原，尤其是京津地区淡水资源不足的状况，采取了南水北调等跨流域调水措施；
②从长远看，发展节水农业才是农业持续发展的必由之路；
③修建水库，调节水资源的时间分配；节约用水、防治水污染等也是解决华北平原淡水资源不足的有效措施"
南方地区,淡水资源,河湖众多，水网纵横，水资源、水能资源丰富
南极地区,植物资源,主要是地衣、苔藓和淡水藻类，南极洲是地球上植物最稀少的大洲
北极地区,植物资源,北极地区的植物比南极地区的植物长得茂盛，种类也多
拉丁美洲,植物资源,亚马孙雨林是世界上最大的热带雨林区；阿根廷的草原辽阔肥美，牛肉出口量居世界第一位
西亚和北非,植物资源,枣椰树是主要植物，椰枣是主要粮食
撒哈拉以南非洲,植物资源,撒哈拉以南非洲是咖啡、椰枣、油棕等的原产地
地中海,植物资源,盛产橄榄、葡萄等水果
亚热带常绿硬叶林带,动物资源,阿尔卑斯山羊
亚热带常绿阔叶林带,动物资源,猕猴、灵猫
温带落叶阔叶林带,动物资源,松鼠、黑熊
温带草原带,动物资源,黄羊、旱獭
温带荒漠带,动物资源,双峰驼、子午沙鼠
亚寒带针叶林带,动物资源,驼鹿、紫貂
寒带苔原带,动物资源,驯鹿、北极狐
寒带冰原带,动物资源,北极熊、海豹
南极地区,动物资源,企鹅、磷虾、海豹、海象、鲸等
北极地区,动物资源,北极熊、北极狐、海豹、海象、鲸、驯鹿等
拉丁美洲,动物资源,树懒、大食蚁兽、峰鸟、巨嘴鸟等
新疆牧区,动物资源,优良畜种：新疆细毛羊
青海牧区,动物资源,优良畜种：牦牛
西藏牧区,动物资源,优良畜种：牦牛、藏绵羊、藏山羊
内蒙古牧区,动物资源,优良畜种：三河牛、三河马
对外贸易,主要对象,美国、日本、韩国、西欧和东南亚各国
对外贸易,进出口主要商品,出口纺织品、服装、机械、茶叶、大米等，进口钢材、机电产品、交通工具、化肥、羊毛、铁矿石、小麦等
对外贸易,主要外贸口岸,上海、广州、天津、大连等
俄罗斯,矿产资源,库尔斯克铁矿；有色金属集中在乌拉尔山区；秋明油田、第二巴库油田；库兹巴斯煤矿
拉丁美洲,矿产资源,墨西哥和委内瑞拉的石油、墨西哥的银、巴西的铁、智利和秘鲁的铜
南极地区,矿产资源,煤、铁、石油、天然气及多种矿物
北极地区,矿产资源,石油、天然气、金属矿产
田纳西河流域,矿产资源,煤、铁、铜、磷、锌、云母等矿产资源丰富
长江三角洲,矿产资源,矿产资源贫乏
松嫩平原,矿产资源,石油等矿产丰富
西西伯利亚区,矿产资源,是石油、天然气、煤炭的主产区
赞比亚,矿产资源,出产铜矿的重要国家
俄罗斯,矿产资源,"俄罗斯的石油、天然气、煤、铁和有色金属等资源丰富，主要的矿产及产地:第二巴库油田、秋明油田、库尔斯克铁矿、库兹巴斯煤矿以及乌拉尔山脉的有色金属等
      俄罗斯的黄金产量仅次于南非，居世界第二位；俄罗斯的石油开采量仅次于美国和沙特阿拉伯，居世界第三位；俄罗斯已探明天然气蕴藏量为48万亿立方米，占世界探明储量的30%，居世界第一位"
巴西,矿产资源,巴西铁矿储量大，质地优良，产量和出口量都居世界前列
撒哈拉沙漠,矿产资源,蕴藏有丰富的石油
南非,矿产资源,世界上铀矿、金刚石和锑的重要产地
欧洲东部,矿产资源,煤、铁、锰、石油和天然气十分丰富
撒哈拉以南非洲,矿产资源,撒哈拉以南非洲是矿产资源的宝库，种类多，储量大。其中金刚石、黄金的储量和产量均居世界首位，石油、铀、铜、铁等矿产资源的储量也很大
南极大陆,矿产资源,白雪皑皑的地下埋藏着丰富的煤炭资源
日本,矿产资源,十分贫乏
印度,矿产资源,煤、铁、锰矿产资源丰富，主要分布在德干高原东北部
南方地区,矿产资源,有色金属矿产资源丰富，能源矿产缺乏
西亚和北非,矿产资源,石油储量最大，油质好，埋藏浅，是出产和输出石油最多的地区
南苏丹共和国,矿产资源,石油、金、铁、石灰石、木材
阿克拉,矿产资源,黄金、钻石、铝矾土、锰
后期阶段,国家,发达国家
中期阶段,国家,发展中国家
初期阶段,国家,发展中国家
陇海—兰新沿线工业地带,发展方向,加强东西部联系，外引内联，逐步形成联系东西部的重要工业地带
东部沿海工业地带,发展方向,发展知识密集型产业，使产品向高、精、尖方向发展。是我国引进外资和技术，发展外向型企业和对外贸易的重要地带
长江沿岸工业地带,发展方向,逐步向拥有水电、有色冶金、化工、轻纺机械、电子等工业地带方向发展
西部草原区,发展方向,围绕生态建设与增加农牧民收入两大主题，结合退耕还林、还草工程的实施，大力发展生态农业和舍饲畜牧业
平原区,发展方向,面向国内大宗农产品需求市场，继续强化商品粮、豆等大宗农产品的生产，以确保国家粮食需求
山区,发展方向,以森林资源保育为核心，在抓好“天然林保护工程”的同时，多元开发特色农业产品，在半山区实现“立体开发”，在山区发展特色农业和特色产品配套加工业
珠三角,发展方向,加强规划与管理
珠三角,发展方向,调整产业结构，促进产业升级
珠三角,发展方向,加强区域内各城市的相互分工与合作，构建大珠江三角洲城市群
农业,发展方向,依靠科技的优势，大力发展高产、优质、高效、生态、安全农业，加快我国从农业大国向农业强国迈进的步伐。
辽中南,发展方向,加大科技投入，更新设备，提高产品质量
辽中南,发展方向,调整工业结构，发展第三产业和高科技产业
辽中南,发展方向,适当限制某些能耗大、当地缺乏原料资源的工业的发展
京津唐,发展方向,积极发展高科技产业，增加产品类型，加强技术改造
京津唐,发展方向,重点放在钢铁、石油化工、海洋化工、电子、高档精纺和精细化工方面
三江源地区,发展方向,"为了保护三江源地区的生态环境，国家设立了三江源自然保护区。
目前，三江源自然保护区采取退耕还草（林），全面禁猎、禁采砂金，休牧育草，实施天然林和天然牧场保护工程等措施，一定程度上遏制了环境持续恶化的趋势。"
中国,发展方向,我国正以更加自信、更加开放、更加负责的姿态走和平发展道路。
我国,发展方向,我国正以更加自信、更加开放、更加负责的姿态走和平发展道路。
中国,发展方向,我国正以更加自信、更加开放、更加负责的姿态走和平发展道路。
西亚和北非,交通位置,三洲、五海之地。沟通大西洋、印度洋，联系亚、欧、非三洲，位于地中海、红海、阿拉伯海、黑海、里海（湖）之间
北京,交通位置,位于华北平原、内蒙古高原和东北平原联结地带，全国的交通枢纽和国际航空港
东南亚,交通位置,地处亚洲与大洋洲、太平洋与印度洋之间的“十字路口”
西亚和北非,农牧业,牧业以游牧为主，畜牧业发达，土耳其的安卡拉羊毛、阿富汗的紫羔皮等很著名
长江三角洲,农牧业,水产业较为发达
青藏地区,农牧业,"牧区
    青藏高原是我国的高寒牧区。这里分布有我国四大牧区（内蒙古、新疆、西藏、青海）中的青海牧区和西藏牧区"
青藏地区,农牧业,"在独特的高寒条件下,青藏地区耐寒的高山草甸分布广泛，生长着能适应高寒、缺氧、低气压等特殊高原环境的牲畜——牦牛、藏绵羊、藏山羊"
青藏地区,农牧业,"青藏地区气温较低，日照较长。在一些海拔较低的地区发展农业生产的条件较好，分布着河谷农业。这里气温较高，土质较肥沃，适宜喜温凉的青稞、小麦、豌豆等作物的生长。
河谷农业主要分布在南部的雅鲁藏布江谷地和东部的湟水谷地。这里是青稞、小麦的高产地区。"
松嫩平原,农牧业,西部发展畜牧业
澳大利亚,语言,英语
南亚,语言,南亚国家以前多为英国的殖民地，所以英语成为第二语言
巴西,语言,通用葡萄牙语
拉丁美洲,语言,大多数通用西班牙语
埃及,语言,阿拉伯语为国语
巴西,语言,葡萄牙语
澳大利亚,语言,通用英语
西亚,语言,通用阿拉伯语
中东,语言,通用阿拉伯语
美国,语言,英语是美国居民通用的语言
日本,语言,日语
印度,语言,印度语为国语，与英语同为官方语言
印度,语言,母语是印地语，英语为其官方语言
澳门特别行政区,语言,中文（含粤语、普通话）、葡语
澳门,语言,中文（含粤语、普通话）、葡语
赞比亚,语言,英语
尼日利亚,语言,英语
圭亚那,语言,英语
马拉维,语言,英语
密克罗尼西亚,语言,英语
纳米比亚,语言,英语
塞拉利昂,语言,英语
圣卢西亚,语言,英语
圣文森特和格林纳丁斯,语言,英语
所罗门群岛,语言,英语
特立尼达和多巴哥,语言,英语
乌干达,语言,英语
牙买加,语言,英语
安提瓜和巴布达,语言,英语
巴哈马,语言,英语
格林纳达,语言,英语
基里巴斯,语言,英语
加纳,语言,英语
津巴布韦,语言,英语
科伦坡,语言,英语
利比里亚,语言,英语
伦敦,语言,英语
多米尼克,语言,英语
圣基茨和尼维斯,语言,英语
巴巴多斯,语言,英语
伯利兹,语言,英语
澳大利亚,语言,英语
南苏丹共和国,语言,英语
英国,语言,英语
新西兰,语言,英语
俄罗斯,语言,俄语
埃及,语言,阿拉伯语，北部地区通用英语
德国,语言,德语
奥地利,语言,德语
列支敦士登,语言,德语
美国,语言,通用英语
印度,语言,印地语，英语
韩国,语言,韩国语（韩国标准语）
马来西亚,语言,马来语
文莱,语言,马来语
印度尼西亚,语言,印度尼西亚语
蒙古,语言,喀尔喀蒙古语
塔吉克斯坦,语言,波斯语
伊朗,语言,波斯语
缅甸,语言,缅甸语
泰国,语言,泰语
菲律宾,语言,菲律宾语、英语
南非,语言,英语，祖鲁语，南非荷兰语
南非共和国,语言,英语，祖鲁语，南非荷兰语
赤道几内亚,语言,西班牙语、法语、葡萄牙语
墨西哥,语言,西班牙语
委内瑞拉,语言,西班牙语
巴拿马,语言,西班牙语
西班牙,语言,西班牙语
智利,语言,西班牙语
哥伦比亚,语言,西班牙语
秘鲁,语言,西班牙语
玻利维亚,语言,西班牙语
乌拉圭,语言,西班牙语
阿根廷,语言,西班牙语
尼加拉瓜,语言,西班牙语
萨尔瓦多,语言,西班牙语
圣胡安,语言,西班牙语
危地马拉,语言,西班牙语
厄瓜多尔,语言,西班牙语
古巴,语言,西班牙语
洪都拉斯,语言,西班牙语
利马,语言,西班牙语
多米尼加,语言,西班牙语
哥斯达黎加共和国,语言,西班牙语
巴拉圭,语言,西班牙语，瓜拉尼语
意大利,语言,意大利语
梵蒂冈,语言,意大利语
圣马力诺,语言,意大利语
吉尔吉斯斯坦,语言,吉尔吉斯语
阿富汗,语言,普什图语、波斯语
不丹,语言,宗卡语
越南,语言,越南语
朝鲜,语言,朝鲜语
丹麦,语言,丹麦语，英语为通用语言
希腊,语言,希腊语
